"No issues found.","No issues found."
"No login since a while.","No login since a while."
"Multiple failed login attempts.","Multiple failed login attempts."
"Go to <a href="%1">Stores > Configuration > Advanced > Admin</a> for module settings.","Go to <a href="%1">Stores > Configuration > Advanced > Admin</a> for module settings."
"Disabled <strong>%1</strong> user(s).","Disabled <strong>%1</strong> user(s)."
"Enabled <strong>%1</strong> user(s).","Enabled <strong>%1</strong> user(s)."
"Disabled","Disabled"
"Enabled","Enabled"
"User Activity","User Activity"
